Date,Open,High,Low,Close,AdjClose,Volume
16/10/20,28570.7207,28842.90039,28570.7207,28606.31055,28606.31055,356140000
15/10/20,28323.40039,28535.84961,28181.53906,28494.19922,28494.19922,328940000
14/10/20,28731.30078,28792.56055,28461.73047,28514,28514,370800000
13/10/20,28764.94922,28808.83984,28604.34961,28679.81055,28679.81055,526110000
12/10/20,28671.11914,28957.90039,28659.66992,28837.51953,28837.51953,493680000
09/10/20,28533.60938,28676.28906,28440.63086,28586.90039,28586.90039,324050000
08/10/20,28348.85938,28459.13086,28265.56055,28425.50977,28425.50977,314750000
07/10/20,27971.35938,28369.66016,27971.35938,28303.46094,28303.46094,328750000
06/10/20,28214.24023,28354.48047,27728.0293,27772.75977,27772.75977,435030000
05/10/20,27825.41992,28162.64063,27825.41992,28148.64063,28148.64063,318210000
02/10/20,27536.39063,27861.42969,27382.93945,27682.81055,27682.81055,392770000
01/10/20,27940.63086,28041.46094,27669.25977,27816.90039,27816.90039,373450000
30/09/20,27514.64063,28026.33008,27511.06055,27781.69922,27781.69922,452550000
29/09/20,27560.24023,27605.59961,27338.08984,27452.66016,27452.66016,303820000
28/09/20,27362.14063,27722.59961,27362.14063,27584.06055,27584.06055,401860000
25/09/20,26694.50977,27239.28906,26635.38086,27173.96094,27173.96094,388900000
24/09/20,26716.08984,27094.84961,26537.00977,26815.43945,26815.43945,447810000
23/09/20,27413.59961,27464.46094,26716.11914,26763.13086,26763.13086,459470000
22/09/20,27170.33984,27333.08984,26989.92969,27288.17969,27288.17969,420720000
21/09/20,27484.71094,27484.71094,26715.15039,27147.69922,27147.69922,523660000
18/09/20,27864.86914,27946.68945,27487.9707,27657.41992,27657.41992,698710000
17/09/20,27834.17969,28056.78906,27647.92969,27901.98047,27901.98047,437230000
16/09/20,28031.68945,28364.76953,28021.66992,28032.38086,28032.38086,416650000
15/09/20,28139.75977,28231.06055,27931.44922,27995.59961,27995.59961,414520000
14/09/20,27718.74023,28086.06055,27718.74023,27993.33008,27993.33008,380750000
11/09/20,27613.85938,27828.82031,27448.15039,27665.64063,27665.64063,435330000
10/09/20,28022.50977,28174.7793,27447.08008,27534.58008,27534.58008,442850000
09/09/20,27711.71094,28206.21094,27704.53906,27940.4707,27940.4707,460590000
08/09/20,27925.23047,27925.23047,27464.90039,27500.89063,27500.89063,580860000
04/09/20,28341.05078,28539.75,27664.67969,28133.31055,28133.31055,694640000
03/09/20,29090.69922,29199.34961,28074.75977,28292.73047,28292.73047,650080000
02/09/20,28736.78906,29162.88086,28713.5293,29100.5,29100.5,539510000
01/09/20,28439.60938,28659.25977,28290.7207,28645.66016,28645.66016,423410000
31/08/20,28643.66016,28643.66016,28363.55078,28430.05078,28430.05078,517320000
28/08/20,28601.28906,28733.34961,28487.98047,28653.86914,28653.86914,369740000
27/08/20,28384.07031,28634.2207,28363.92969,28492.26953,28492.26953,404340000
26/08/20,28257.88086,28353.80078,28153.91016,28331.91992,28331.91992,327070000
25/08/20,28347.41992,28400.74023,28094.57031,28248.43945,28248.43945,338420000
24/08/20,28077.58008,28314.93945,28041.75,28308.46094,28308.46094,383880000
21/08/20,27758.13086,27959.48047,27686.7793,27930.33008,27930.33008,372720000
20/08/20,27622.67969,27781.46094,27526.25,27739.73047,27739.73047,304550000
19/08/20,27811.25977,27920.41992,27647.66992,27692.88086,27692.88086,311460000
18/08/20,27853.48047,27891.11914,27668.78906,27778.07031,27778.07031,276170000
17/08/20,27970.05078,27999.81055,27816.40039,27844.91016,27844.91016,286860000
14/08/20,27828.92969,27977.81055,27759.39063,27931.01953,27931.01953,275540000
13/08/20,27922.50977,27986.09961,27789.7793,27896.7207,27896.7207,360160000
12/08/20,27860.24023,28043.89063,27843.32031,27976.83984,27976.83984,340210000
11/08/20,27961.64063,28154.88086,27624.50977,27686.91016,27686.91016,428220000
10/08/20,27488.21094,27803.85938,27488.21094,27791.43945,27791.43945,360340000
07/08/20,27321.67969,27456.24023,27223.55078,27433.48047,27433.48047,321170000
06/08/20,27170.82031,27394.09961,27145.25,27386.98047,27386.98047,322460000
05/08/20,26924.7793,27221.66992,26924.7793,27201.51953,27201.51953,366000000
04/08/20,26664.60938,26832.7207,26597.82031,26828.4707,26828.4707,346350000
03/08/20,26542.32031,26707.25977,26534.38086,26664.40039,26664.40039,439380000
31/07/20,26409.33008,26440.01953,26013.58984,26428.32031,26428.32031,488050000
30/07/20,26367.41992,26374.92969,25992.2793,26313.65039,26313.65039,351540000
29/07/20,26388.43945,26602.44922,26375.39063,26539.57031,26539.57031,347580000
28/07/20,26529.44922,26556.83984,26361.71094,26379.2793,26379.2793,361090000
27/07/20,26447.66992,26625.46094,26426.91992,26584.76953,26584.76953,400930000
24/07/20,26533.41016,26625.69922,26402.85938,26469.89063,26469.89063,494170000
23/07/20,26955.9707,26973.84961,26560.03906,26652.33008,26652.33008,419800000
22/07/20,26824.56055,27035.24023,26794.18945,27005.83984,27005.83984,404340000
21/07/20,26833.14063,27025.38086,26766.2207,26840.40039,26840.40039,364930000
20/07/20,26660.28906,26765.01953,26504.19922,26680.86914,26680.86914,309390000
17/07/20,26774.61914,26808.42969,26619.88086,26671.94922,26671.94922,296460000
16/07/20,26746.57031,26879.16016,26590.00977,26734.71094,26734.71094,287330000
15/07/20,27009.81055,27071.33008,26692.48047,26870.09961,26870.09961,384900000
14/07/20,26044.16992,26690.51953,25994.98047,26642.58984,26642.58984,401640000
13/07/20,26225.07031,26639.08984,26044.23047,26085.80078,26085.80078,425320000
10/07/20,25690.34961,26101.32031,25637.5,26075.30078,26075.30078,338170000
09/07/20,26094.91992,26103.2793,25523.50977,25706.08984,25706.08984,387610000
08/07/20,25950.06055,26109.49023,25816.25,26067.2793,26067.2793,337300000
07/07/20,26172.00977,26174.92969,25866.58008,25890.17969,25890.17969,346820000
06/07/20,25996.08008,26297.5293,25996.08008,26287.0293,26287.0293,340690000
02/07/20,25936.44922,26204.41016,25778.11914,25827.35938,25827.35938,349130000
01/07/20,25879.38086,26019.31055,25713.60938,25734.9707,25734.9707,373180000
