Date,High,Low,Open,Close,Volume
16/10/20,167.25,164.36,165.91,164.92,4823492
15/10/20,165.46,161.12,161.84,165.46,1857424
14/10/20,166.16,162.6,165.98,163.97,2246987
13/10/20,166.68,164.15,164.57,165.64,2012192
12/10/20,165.49,163.62,164.3,164.57,2419376
09/10/20,164.81,162.1,162.2,163.71,2575747
08/10/20,163.32,161.39,162.6,161.86,2176002
07/10/20,161.61,159.61,160.06,160.68,2925854
06/10/20,161.98,157.61,161.47,158.41,2905826
05/10/20,162.31,159.99,159.99,161.49,2247000
02/10/20,159.99,156.16,156.97,159.1,1955054
01/10/20,160.89,158.1,158.41,158.6,3847237
30/09/20,159.15,156.5,157.45,157.42,2786142
29/09/20,158.43,155.87,156.75,156.94,2772512
28/09/20,157.71,154.65,154.95,156.46,3616553
25/09/20,155.16,151.75,151.86,154.35,2736871
24/09/20,153.56,150.1,151.62,152,3213123
23/09/20,155.2,150.37,153.88,151.01,2786922
22/09/20,154.44,150.93,151.15,154.08,4268659
21/09/20,149.99,146.45,148.69,149.86,3255840
18/09/20,149.52,147.26,147.72,148.82,3523253
17/09/20,148.77,146.55,147.39,147.61,2368883
16/09/20,149.73,147.91,149.34,147.99,2052353
15/09/20,149.84,147.36,148.11,149.07,2150333
14/09/20,150.39,147.84,148.55,148.44,2637721
11/09/20,147.96,146.18,146.86,147.65,2261723
10/09/20,148.34,145.31,147.6,146.04,2761945
09/09/20,148.6,144.76,144.76,147.55,3270925
08/09/20,146.79,143.38,146.68,144,3477732
04/09/20,148.55,143.69,146.69,147.23,4720916
03/09/20,149.98,145.41,149.47,146.03,4083844
02/09/20,150.87,148.42,150.5,149.84,4083710
01/09/20,151.77,150.12,150.61,150.55,3583511
31/08/20,151.91,150.32,151.14,151.21,3015394
28/08/20,151.67,149.6,150.31,150.85,2775396
27/08/20,152.75,149.67,152.66,150.31,3589256
26/08/20,153.57,152.09,152.75,152.71,2387711
25/08/20,154.28,152.36,154.15,152.85,2924091
24/08/20,154.62,152.63,154.5,153.24,4349175
21/08/20,155.61,152.13,152.33,153.63,6998193
20/08/20,156.1,151.72,154.93,152.24,12021539
19/08/20,154.69,146.54,148.5,154.22,39839211
18/08/20,137.97,134.67,137.01,136.9,5667948
17/08/20,138.69,137.4,137.98,138.24,4578144
14/08/20,137,135.22,135.92,136.53,3117842
13/08/20,134.94,133.61,133.99,134.81,2320996
12/08/20,135.11,132.77,135.11,134.6,4843473
11/08/20,134.59,131.35,133.71,131.72,3797460
10/08/20,134.11,131.25,132.07,132.94,2959399
07/08/20,131.88,129,129.24,131.75,2263170
06/08/20,129.93,128.13,129.5,129.01,1979028
05/08/20,131.93,128.66,130.75,129.37,3688346
04/08/20,130.77,127.58,127.93,130.45,3802113
03/08/20,128.24,126.25,126.5,127.84,3294728
31/07/20,125.93,123.79,124.28,125.88,3238266
30/07/20,125.42,121.82,122.33,124.58,3599041
29/07/20,124.48,122.9,123.47,123.68,2043792
28/07/20,124.46,122.12,122.61,123.29,2311272
27/07/20,124.49,122.16,124.25,122.69,2351238
24/07/20,125.53,122.06,122.54,123.71,3815041
23/07/20,123.6,121.94,123.45,122.35,3261186
22/07/20,123.18,120,120.3,123.14,3846862
21/07/20,120.99,120.02,120.35,120.2,3190582
20/07/20,121.87,119.04,121.54,119.82,3766320
17/07/20,123.21,121.45,122.64,121.67,2658013
16/07/20,122.99,121.14,121.26,121.95,3108898
15/07/20,122.72,120.01,121.31,121.67,3528750
14/07/20,120.17,117.42,118.74,120.08,2578213
13/07/20,121.76,118.38,119.38,118.73,3456092
10/07/20,118.98,117.06,117.82,118.86,2025599
09/07/20,119.31,117.13,117.46,117.9,2861115
08/07/20,118.5,116.73,118.15,117.7,2831307
07/07/20,119.55,117.81,118.3,118.06,3899692
06/07/20,120.25,117.98,120.01,119.24,3615899
02/07/20,120.59,118.89,119.98,119.12,2203191
01/07/20,120.36,118.83,119.91,118.96,2834738
