wage,female,nonwhite,union,education,exper,age
19,F,N,N,14,18,38
5,M,W,N,12,35,53
8.199999809,F,W,N,12,33,51
5.050000191,M,W,N,16,17,39
4.75,F,W,N,12,1,19
9.789999962,M,W,M,12,21,39
25.43000031,F,W,N,18,17,41
23.09000015,F,W,N,20,17,43
14.43999958,M,W,N,12,43,61
24.03000069,M,W,N,14,36,56
6.920000076,M,W,N,12,26,44
9.329999924,M,W,N,16,4,26
8.079999924,F,W,M,12,24,42
4.5,F,W,N,11,1,18
12,M,W,N,9,23,38
8.75,M,W,N,12,17,35
5.800000191,M,W,N,12,3,21
16,M,W,N,16,7,29
8,M,W,N,12,8,26
17.68000031,F,W,M,16,33,55
10,M,W,N,14,32,52
19,F,N,N,14,18,38
11.31999969,M,W,N,12,13,31
6.880000114,F,W,N,12,16,34
12.5,F,W,N,12,25,43
9,F,W,N,12,23,41
5.050000191,M,W,N,16,17,39
9.25,M,W,N,12,28,46
5.820000172,M,N,N,12,11,29
5.510000229,F,W,N,12,22,40
5.25,F,N,N,12,3,21
11,M,W,N,12,7,25
35.38000107,M,W,N,16,16,38
8.869999886,M,W,N,14,25,45
6.880000114,M,W,N,7,39,52
4.900000095,M,W,N,16,1,23
11,M,W,N,12,29,47
7,M,W,M,12,34,52
16.82999992,F,W,N,16,25,47
14.43000031,M,W,N,18,8,32
4.25,F,W,N,12,3,21
5.25,F,W,N,16,5,27
8,M,W,N,11,5,22
12,F,W,N,18,3,27
7,M,W,N,12,6,24
14.84000015,F,W,N,12,44,62
7,F,W,N,12,16,34
20,M,W,N,20,31,57
18.60000038,F,W,N,16,4,26
5,F,W,N,12,38,56
9.609999657,F,W,N,12,13,31
18,F,W,N,18,9,33
18,M,W,M,12,17,35
6.650000095,F,W,N,12,23,41
13,M,W,M,12,13,31
9.319999695,M,W,N,12,11,29
19.21999931,M,W,N,16,14,36
2.900000095,F,W,M,12,23,41
13.64999962,M,W,N,12,17,35
14.43000031,M,W,N,18,17,41
6,M,W,N,12,45,63
4,F,W,N,12,35,53
7.559999943,F,W,N,14,6,26
12.02999973,M,N,N,12,8,26
9.229999542,F,N,N,12,10,28
14.42000008,F,W,N,14,13,33
18.20000076,F,W,N,12,18,36
10,M,W,N,12,31,49
21.46999931,M,W,N,16,8,30
8,F,W,N,12,41,59
5,F,W,N,12,10,28
25,M,W,M,18,33,57
9.470000267,F,W,N,12,24,42
5,M,W,N,12,35,53
9.520000458,F,W,N,12,44,62
23.17000008,M,W,N,12,37,55
10,F,W,N,12,4,22
5,F,W,N,12,15,33
19.25,F,N,N,12,15,33
8,M,W,N,14,16,36
7,F,W,N,12,24,42
6.039999962,F,W,N,12,21,39
12,M,W,N,12,30,48
6.050000191,F,N,N,12,4,22
4.400000095,F,N,N,10,17,33
16.67000008,F,W,N,14,11,31
7.550000191,M,W,N,16,9,31
8.75,M,W,N,12,6,24
9.619999886,F,W,N,14,5,25
14.64000034,F,W,N,14,12,32
15.84000015,F,W,N,16,8,30
5,M,W,N,12,13,31
33.33000183,M,W,N,16,7,29
27.46999931,M,W,N,16,25,47
14.43000031,M,W,N,12,30,48
12,M,W,N,12,24,42
6.199999809,F,W,N,12,26,44
5.75,F,W,N,12,5,23
4.380000114,F,N,N,12,23,41
14.43999958,M,W,N,12,43,61
9.090000153,F,W,N,12,16,34
12.02999973,M,W,M,10,34,50
9,M,W,N,12,6,24
18,M,W,N,12,22,40
